FID,OBJECTID,SHAPE,KATEGORIE_TXT,ADRESSE,FLAECHE,SPORTSTAETTEN_ART,WEBLINK1,KATEGORIE_NUM,SE_ANNO_CAD_DATA
SPORTSTAETTENOGD.16377,16377,POINT (16.47604450742682 48.212599987203966),Öffentlich outdoor,"22., Am Müllnermais 1 ggü",30,Tischtennis,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16378,16378,POINT (16.43657103480209 48.212996580652046),Öffentlich outdoor,"22., Am Wehr, Neue Donau 1",3060,Wasserskilift,http://www.wakeboardlift.at/,3,
SPORTSTAETTENOGD.16379,16379,POINT (16.43919123832923 48.21151630603987),Vereinssport outdoor,"22., Am Wehr, Neue Donau 3",6900,Wassersprungschanze bei U 2 Seestern,http://www.freestyle.at/,7,
SPORTSTAETTENOGD.16380,16380,POINT (16.45580391154921 48.24890135075523),Vereinssport outdoor,"22., Am langen Felde 60",21160,"Rasenplatz,<br />Kunstrasenplatz (Fußball),<br />Jugendfußballfeld",http://www.ksc-fcb-donaustadt.at/,7,
SPORTSTAETTENOGD.16381,16381,POINT (16.491157955851957 48.225924720197256),Öffentlich outdoor,"22., An den alten Schanzen 80",1015,"polysportiver Rasenplatz,<br />polysportiver Hartplatz,<br />Tischtennis",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11144,11144,POINT (16.40130808236557 48.20677932513979),Öffentlich indoor,"2., Rustenschacherallee 9",1050,Tennishalle (2 Plätze),http://www.wac.at/,2,
SPORTSTAETTENOGD.11145,11145,POINT (16.402866155641366 48.207116847153834),Vereinssport outdoor,"2., Rustenschacherallee 9",71400,"Rasenplatz,<br />Tennisanlage (23 Plätze)",http://www.wac.at/,7,
SPORTSTAETTENOGD.11146,11146,POINT (16.399594218103115 48.21241839054377),Öffentlich outdoor,"2., Rustenschacherallee, Hauptallee",585,Skateranlage,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11147,11147,POINT (16.402322275193367 48.20571008186475),Öffentlich outdoor,"2., Rustenschacherallee, Jesuitenwiese 42 ggü",10000,"polysportiver Rasenplatz,<br />Beachvolleyballanlage",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11148,11148,POINT (16.456483122447516 48.18165921541844),Vereinssport outdoor,"2., Seitenhafenstraße (1) 15 ggü",6420,Bogenschießanlage,http://www.bogensport-schoenbrunn.at/,7,
SPORTSTAETTENOGD.11149,11149,POINT (16.403428576076834 48.20915474101663),Vereinssport outdoor,"2., Spenadlwiese",43200,"3 Rasenplätze (Baseball, Fußball, Softball), <br />Tennisanlage (6 Plätze)",https://www.askoewat.wien/de/service-aktuelles/sportanlagen/articlearchivshow-1020-askoe-ballpark-spenadlwiese,7,
SPORTSTAETTENOGD.11150,11150,POINT (16.38835921417924 48.213730679665694),Öffentlich outdoor,"2., Untere Donaustraße, Vorkai - Praterufer 33 ggü",640,"polysportiver Rasenplatz,<br />polysportiver Hartplatz",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11151,11151,POINT (16.395506155645382 48.22000060208947),Vereinssport outdoor,"2., Venediger Au 11",7610,"polysportiver Rasenplatz,<br />Leichtathletikanlage",https://www.wien.gv.at/freizeit/sportamt/sportstaetten/anlagen/jugendsport/venediger-au.html,7,
SPORTSTAETTENOGD.11152,11152,POINT (16.386855510895018 48.222849472868674),Öffentlich outdoor,"2., Volkertplatz 5 ggü",210,polysportiver Hartplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11153,11153,POINT (16.40264760318394 48.226187878931995),Öffentlich outdoor,"2., Mexikoplatz/Rosenpark 1 ggü",575,polysportiver Rasenplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11154,11154,POINT (16.42809732563478 48.20748096846742),Vereinssport outdoor,"2., Wehlistraße 320",18560,"Tennisanlage (11 Plätze, 5 Hallenplätze)",http://www.ltmtennis.com/art/,7,
SPORTSTAETTENOGD.11155,11155,POINT (16.372026492681954 48.21839479107042),Öffentlich outdoor,"2., Obere Donaustraße, Wilhelm-Kienzl-Park 53 ggü",780,polysportive Hartplätze,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11156,11156,POINT (16.38104862940278 48.20388025769183),Öffentlich outdoor,"3., Am Heumarkt, Stadtpark 3 ggü",830,polysportive Hartplätze,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11157,11157,POINT (16.3825120689736 48.199546558382245),Öffentlich outdoor,"3., Am Modenapark 4 ggü",520,polysportiver Hartplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11158,11158,POINT (16.391310487051417 48.198444058616616),Öffentlich outdoor,"3., Arenbergpark, Neulinggasse",1350,polysportive Hartplätze,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11159,11159,POINT (16.387879467113454 48.181494369382115),Vereinssport outdoor,"3., Arsenalstraße 3",15400,Tennisanlage (21 Plätze),https://www.dasspiel.at/,7,
