FID,OBJECTID,SHAPE,KATEGORIE_TXT,ADRESSE,FLAECHE,SPORTSTAETTEN_ART,WEBLINK1,KATEGORIE_NUM,SE_ANNO_CAD_DATA
SPORTSTAETTENOGD.16264,16264,POINT (16.331700867676332 48.201941463106174),Öffentlich indoor,"15., Vogelweidplatz 14",5000,"3 Sporthallen - Hallen A und B (polysportiv), Halle C (Eissport)",http://www.wienersportstaetten.at/home/stadthallen-sport/adresse,2,
SPORTSTAETTENOGD.16265,16265,POINT (16.319054796600984 48.19396399914331),Öffentlich outdoor,"15., Wieningerplatz 5 ggü",485,polysportive Hartplätze,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16266,16266,POINT (16.318805537517267 48.188829177831224),Öffentlich outdoor,"15., Winckelmannstraße, Auer-Welsbach-Park 22 ggü",1220,"polysportive Hartplätez,<br />Tischtennis",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16267,16267,POINT (16.303940366601438 48.21522560278504),Vereinssport outdoor,"16., Erdbrustgasse 4",5000,Tennisanlage (9 Plätze),https://www.wat16.at/,7,
SPORTSTAETTENOGD.16268,16268,POINT (16.303953817240124 48.215234599759484),Öffentlich indoor,"16., Erdbrustgasse 4",1100,Basketballhalle,http://www.basketfighters.at/,2,
SPORTSTAETTENOGD.16269,16269,POINT (16.303967267883525 48.21524359673236),Vereinssport outdoor,"16., Erdbrustgasse 4",32928,"Rasenplatz,<br />Kunstrasenplatz (Fußball)",http://www.wienersportklub.at,7,
SPORTSTAETTENOGD.16270,16270,POINT (16.318275111233543 48.21471485072727),Öffentlich outdoor,"16., Familienplatz 1 ggü",225,polysportiver Hartplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16271,16271,POINT (16.313004633434502 48.20898424453481),Öffentlich outdoor,"16., Hettenkofergasse 12 ggü",530,polysportiver Hartplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16272,16272,POINT (16.33330366975529 48.20861997221507),Öffentlich outdoor,"16., Hofferplatz 2 ggü",425,polysportive Hartplätze,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16273,16273,POINT (16.304798563137272 48.21419620725166),Öffentlich outdoor,"16., Thaliastraße, Karl-Kantner-Park 157 ggü",470,"polysportiver Hartplatz,<br />Fitnessgeräte",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16274,16274,POINT (16.309348668110157 48.20344209657386),Öffentlich outdoor,"16., Kendlerstraße 35 ggü",410,Skateranlage,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16275,16275,POINT (16.309472643817497 48.20382217917733),Vereinssport outdoor,"16., Kendlerstraße 38a",23797,"Rasenplatz,<br />Kunstrasenplatz (Fußball),<br />Kunstrasenmehrzweckplatz",http://www.redstar-penzing.at/,7,
SPORTSTAETTENOGD.16276,16276,POINT (16.309548722242123 48.204284827260956),Öffentlich indoor,"16., Kendlerstraße 38b",2000,Kegelbahn,http://www.ksv-international.at',2,
SPORTSTAETTENOGD.16277,16277,POINT (16.30911852889841 48.204380216162804),Öffentlich indoor,"16., Kendlerstraße 41",10270,"Fitnesscenter (Badminton, Squash, Tennis, Fitness)",http://www.clubdanube.at/cd_index.php,2,
SPORTSTAETTENOGD.16278,16278,POINT (16.31496842322154 48.1865686210802),Vereinssport outdoor,"13., Schönbrunner Schloßstraße 52",10637,"Rasenplatz (Rugby),<br />polysportiver Hartplatz,<br />2 Beachvolleyballplätze,<br />Laufbahn,<br />Asphaltstockbahnen",http://www.sportunion-wien.at,7,
SPORTSTAETTENOGD.16279,16279,POINT (16.315991509964025 48.18644606764449),Öffentlich indoor,"13., Schönbrunner Schloßstraße 52",7930,Sporthalle (Schwerpunkt Turnen),http://www.sportunion-wien.at/de/menu_main/sportstaetten/marketshow-usz-schoenbrunn,2,
SPORTSTAETTENOGD.16280,16280,POINT (16.27584223084337 48.173792867207666),Öffentlich outdoor,"13., Versorgungsheimplatz, Friedrich-Julius-Bieber-Anlage 28",500,"polysportive Hartplätze,<br />Tischtennis",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16281,16281,POINT (16.27335807645527 48.17597645317683),Öffentlich outdoor,"13., Wolkersbergenstraße 150 ggü",335,Skateranlage,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16282,16282,POINT (16.28770722178155 48.202699821553594),Vereinssport outdoor,"14., Achtundvierziger Platz",8393,"Tennisanlage (5 Plätze),<br />polysportiver Rasenplatz,<br />polysportiver Hartplatz",https://www.skvsfloetzersteig.at/about/,7,
SPORTSTAETTENOGD.16283,16283,POINT (16.25814769860136 48.23056467383186),Vereinssport outdoor,"14., Amundsenstraße 5",10930,Reitsportanlage,http://www.schottenhof.at/Main.htm,7,
SPORTSTAETTENOGD.16284,16284,POINT (16.24476451964693 48.20765371280613),Öffentlich outdoor,"14., Mondweg, Franz-Sauer-Park 91 ggü",125,polysportiver Hartplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16285,16285,POINT (16.264169700905715 48.1997401459973),Öffentlich indoor,"14., Bahnhofstraße 1d",7000,Sporthalle (Soccer),http://www.westsidesoccer.at/,2,
SPORTSTAETTENOGD.16286,16286,POINT (16.265093505253223 48.19941130285575),Vereinssport outdoor,"14., Bahnhofstraße 1d",5542,Socceranlage (10 Kleinkunstrasenplätze),http://www.westsidesoccer.at,7,
SPORTSTAETTENOGD.16294,16294,POINT (16.27361674501043 48.19380815513987),Öffentlich outdoor,"14., Hochsatzengasse 4A ggü",480,"polysportiver Hartplatz,<br />Tischtennis",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16295,16295,POINT (16.214570614802494 48.20591528869578),Vereinssport outdoor,"14., Hofjägerstraße 2",10492,polysportiver Rasenplatz,,7,
SPORTSTAETTENOGD.16296,16296,POINT (16.255622078571328 48.20911382116196),Öffentlich outdoor,"14., Hüttelbergstraße 26 ggü",1210,polysportiver Hartplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16297,16297,POINT (16.23985932684645 48.239242835389426),Vereinssport outdoor,"14., Karl-Bekehrty-Straße 180",3710,Reitsportanlage,https://monika.de.tl/Reiten-auf-der-Rieglerh.ue.tte.htm,7,
SPORTSTAETTENOGD.16298,16298,POINT (16.265562015611277 48.1972843267498),Vereinssport outdoor,"14., Keisslergasse 6",69699,"Allianz Stadion (3 Rasenplätze, 1 Kunstrasenplatz)",http://www.skrapid.at,7,
SPORTSTAETTENOGD.16299,16299,POINT (16.307104864666428 48.20120349687113),Öffentlich outdoor,"14., Muthsamgasse, Ordeltpark 1 ggü",440,polysportiver Hartplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16300,16300,POINT (16.27630539127458 48.20028498710875),Vereinssport outdoor,"14., Kinkplatz",18389,"Kunstrasenplatz,<br />Tennisplatz,<br />Mehrzweckplatz,<br />Rasen",https://vereine.fussballoesterreich.at/FvAustriaXiiiAuhofCenter/News/,7,
SPORTSTAETTENOGD.16301,16301,POINT (16.27460504301332 48.19733862519311),Öffentlich outdoor,"14., Hochsatzengasse, Baumgartner-Casino-Park 13",505,"polysportiver Hartplatz,<br />Tischtennis",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16302,16302,POINT (16.249656427407558 48.203400792266464),Vereinssport outdoor,"14., Linzer Straße 431",2340,Tennisanlage (2 Plätze),https://www.westwien.at/,7,
SPORTSTAETTENOGD.16303,16303,POINT (16.250053916985777 48.20365338120597),Öffentlich indoor,"14., Linzer Straße 431",150,Sporthalle (Fitness),https://www.westwien.at/,2,
SPORTSTAETTENOGD.16304,16304,POINT (16.213599659507285 48.21107818415121),Öffentlich indoor,"14., Lorenz-Stein-Gasse 22",2054,Schießsportanlage,http://www.sslv-wien.at/,2,
SPORTSTAETTENOGD.16305,16305,POINT (16.202050293044692 48.229530615874964),Öffentlich outdoor,"14., Mauerbachstraße 174",78600,"Schilift,<br />Sommerrodelbahn,<br />Mountainbike Trails",http://www.wien.gv.at/freizeit/sportamt/sportstaetten/anlagen/rodelbahn.html,3,
SPORTSTAETTENOGD.16306,16306,POINT (16.20930978142729 48.224318573206396),Öffentlich outdoor,"14., Mauerbachstraße 47",2730,"Tennisanlage,<br />Beachvolleyballanlage",http://www.jaegerwirt.at/,3,
SPORTSTAETTENOGD.16307,16307,POINT (16.205385288283754 48.22614887851449),Vereinssport outdoor,"14., Mauerbachstraße 77",8380,Tennisanlage (4 Plätze),http://www.tennis-pokorny.at/,7,
SPORTSTAETTENOGD.16308,16308,POINT (16.205878942371573 48.22636544455482),Öffentlich indoor,"14., Mauerbachstraße 77",1200,Tennishalle (3 Plätze),http://www.tennis-pokorny.at/,2,
SPORTSTAETTENOGD.16309,16309,POINT (16.271154235501935 48.19967407673158),Öffentlich outdoor,"14., Müller-Guttenberg-Straße 37",1310,Minigolfanlage,http://wbgv.at/mitglieder/mgc-blau-weiss/,3,
SPORTSTAETTENOGD.16310,16310,POINT (16.283923026909328 48.19872990157285),Öffentlich outdoor,"14., Pachmanngasse, Waidhausenpark 40 ggü",50,Fitnessgeräte,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16311,16311,POINT (16.311264391500547 48.19595961702535),Öffentlich outdoor,"14., Reinlgasse, Reinlpark 24 ggü",405,polysportive Hartplätze,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16312,16312,POINT (16.28400895163444 48.20738187619982),Öffentlich outdoor,"14., Baumgartner Höhe, Steinhofer Park 1 ggü",315,polysportiver Hartplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16313,16313,POINT (16.31427326874687 48.18970164994325),Öffentlich outdoor,"14., Zichygasse, Heinz-Conrads-Park 10 hinter",415,polysportiver Hartplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16314,16314,POINT (16.31371694624638 48.20029531077401),Öffentlich outdoor,"14., Schützplatz, H.-C.-Artmann-Park 1 ggü",370,polysportiver Hartplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16315,16315,POINT (16.305907207817132 48.204009093684135),Vereinssport outdoor,"14., Steinbruchstraße 11",13759,"Kunstrasenplatz,<br />Kunstrasenmehrzweckplatz",http://www.slovan-hac.at,7,
SPORTSTAETTENOGD.16316,16316,POINT (16.398230640960154 48.2643880859623),Öffentlich outdoor,"21., Demmergasse, Marie-Schuller-Park 5 ggü",800,polsportive Hartplätze,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16317,16317,POINT (16.415196562630676 48.252867979935466),Öffentlich outdoor,"21., Donaufelder Straße 71 ggü",495,"polysportiver Hartplatz,<br />Skateranlage",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16318,16318,POINT (16.39187345237803 48.243811041784966),Öffentlich outdoor,"21., Donauinsel, südlich Georg-Danzer-Steg",58800,"polysportive Rasenplätze,<br />Beachvolleyballplätze,<br />polysportiver Hartplatz",https://www.wien.gv.at/umwelt/gewaesser/donauinsel/freizeit/index.html,3,
SPORTSTAETTENOGD.16319,16319,POINT (16.38106140292003 48.25501098275407),Öffentlich outdoor,"21., Donauinsel, zwischen Nordbrücke und Steinitzsteg",20300,polysportive Rasenplätze,https://www.wien.gv.at/umwelt/gewaesser/donauinsel/freizeit/index.html,3,
SPORTSTAETTENOGD.16320,16320,POINT (16.43815157379349 48.26968982525591),Öffentlich outdoor,"21., Dominik-Wölfel-Gasse 2",1890,polysportiver Rasenplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16321,16321,POINT (16.437203053307663 48.26043807910879),Vereinssport outdoor,"21., Eipeldauerstraße 6",17540,"Kunstrasenplatz (Fußball), Rasenplatz (Fußball)",http://scelite.at/,7,
SPORTSTAETTENOGD.16322,16322,POINT (16.394577489844824 48.25277329053044),Öffentlich outdoor,"21., Am Wasserpark 3 hinter",885,"polysportive Hartplätze,<br />Tischtennis,<br />Fitnessgeräte",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16323,16323,POINT (16.411537391169393 48.251392773030744),Öffentlich outdoor,"21., Freiligrathplatz, Freiligrathpark 5 ggü",540,"polysportive Hartplätze,<br />Tischtennis",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16324,16324,POINT (16.458859041051525 48.2814326755088),Öffentlich outdoor,"21., Almgasse, Parkanlage Gerlosplatz 14 ggü",3375,"polysportiver Rasenplatz,<br />polysportiver Hartplatz",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16325,16325,POINT (16.393153406837104 48.25680622785262),Öffentlich indoor,"21., Grabmayrgasse 13-18",3000,4 Tennisplätze + Fitness (Gymnastikraum),http://www.ftv1865.at/,2,
SPORTSTAETTENOGD.16326,16326,POINT (16.3935003603481 48.25712984352161),Vereinssport outdoor,"21., Grabmayrgasse 13-18",3150,Tennisanlage (4 Plätze),http://www.ftv1865.at/,7,
SPORTSTAETTENOGD.16327,16327,POINT (16.422576368673077 48.26345728921719),Vereinssport outdoor,"21., Heinrich von Buolgasse 3",37240,"2 Rasenplätze,<br />Tennisanlage (6 Plätze)",http://www.ksv-siemens-fussball.com/,7,
SPORTSTAETTENOGD.16328,16328,POINT (16.42272184142117 48.26280193098894),Öffentlich indoor,"21., Heinrich-von-Buol-Gasse 3",2500,Fußball,https://vereine.fussballoesterreich.at/KSV-Siemens-Grossfeld/News/,2,
SPORTSTAETTENOGD.16329,16329,POINT (16.448819012805046 48.271999642725596),Öffentlich outdoor,"21., Gitlbauergasse 2 ggü",3555,"polysportiver Hartplatz,<br />Beachvolleyballanlage,<br />Skateranlage",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16330,16330,POINT (16.394080951778488 48.27109179795823),Öffentlich outdoor,"21., Hopfengasse 10-12",8400,"Tennisanlage,<br />Pool,<br />Fitnessgeräte",http://www.freizeitpark21.at/,3,
SPORTSTAETTENOGD.16331,16331,POINT (16.393166499386673 48.27064206486784),Öffentlich indoor,"21., Hopfengasse 10-12",5000,"Fitnesscenter, Tennis",http://www.freizeitpark21.at/,2,
SPORTSTAETTENOGD.16332,16332,POINT (16.393324409048287 48.26950313419891),Vereinssport outdoor,"21., Hopfengasse 8",28960,"Rasenplatz,<br />Kunstrasenplatz (Fußball)",http://www.fac.at/,7,
SPORTSTAETTENOGD.16333,16333,POINT (16.407425478326434 48.255358856906284),Öffentlich outdoor,"21., Hoßplatz, Joseph-Samuel-Bloch-Park 2 vor",30,Tischtennis,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16334,16334,POINT (16.45064747493648 48.2867770231393),Öffentlich outdoor,"21., Kainachgasse, Parkanlage Illgasse 2 ggü",2915,polysportiver Rasenplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16335,16335,POINT (16.409546286864856 48.283046813917196),Vereinssport outdoor,"21., Jedlersdorfer Platz 25",22400,"Rasenplatz,<br />Kunstrasenplatz (Fußball), Ringerhalle",https://vereine.fussballoesterreich.at/MauerwerkSportAdmira/News/,7,
SPORTSTAETTENOGD.16336,16336,POINT (16.403913803154722 48.27465916101197),Öffentlich indoor,"21., Jedlersdorferstraße 94",18892,"Sporthalle (5 Tennisplätze, 10 Badmintoncourts, Tischtennis, 2 Fußballplätze, Beachvolleyball, Fitness + Kegelbahn)",http://www.maxx-sportcenters.info/,2,
SPORTSTAETTENOGD.16337,16337,POINT (16.391758485156615 48.25603761416677),Öffentlich outdoor,"21., Jedlerseer Strasse, Floridsdorfer Aupark 25",5000,"polysportiver Rasenplatz,<br />Tischtennis",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16338,16338,POINT (16.388810862396483 48.261658964350374),Öffentlich indoor,"21., Jedleseerstraße 66-94",2000,"Sporthalle (Badminton, Volleyball, Boxen, Budosportarten, Gewichtheben)",https://www.wien.gv.at/freizeit/sportamt/sportstaetten/hallen/hofmann-halle.html,2,
SPORTSTAETTENOGD.16339,16339,POINT (16.43914069593624 48.27108647488262),Öffentlich outdoor,"21., Jerusalemgasse, Koschakergasse 30",50,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16340,16340,POINT (16.404900394937975 48.27981324720825),Vereinssport outdoor,"21., Jochbergengasse, Dragoungasse",25100,"Rasenplatz,<br />Kunstrasenplatz (Fußball),<br />Tennisanlage (2 Plätze)",http://www.usclandhaus.at/,7,
SPORTSTAETTENOGD.16341,16341,POINT (16.39348342446123 48.27365248091424),Öffentlich outdoor,"21., Josef-Zapf-Gasse, Denglerpark 39 ggü",55,Tischtennis,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16342,16342,POINT (16.44097562893357 48.2659776199971),Vereinssport outdoor,"21., Julius-Ficker-Straße 30",15510,"Rasenplatz,<br />Kunstrasenplatz (Fußball)",http://www.ksv-siemens-fussball.com/jugend.php,7,
SPORTSTAETTENOGD.16343,16343,POINT (16.39738326732749 48.26742074590601),Öffentlich outdoor,"21., Katsushikastraße, Parkanlage Underground 4 ggü",4860,"polysportive Hartplätze,<br />Skateranlage",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16344,16344,POINT (16.445187964344274 48.26831497343802),Öffentlich outdoor,"21., Langfeldgasse 2-16/43 neben",465,"polysportiver Hartplatz,<br />Tischtennis",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16345,16345,POINT (16.413611288477384 48.29730350357504),Öffentlich outdoor,"21., Luckenschwemmgasse 10 ggü",1311,polysportiver Hartplatz,https://www.wien.gv.at/freizeit/sportamt/sportstaetten/spielplaetze/,3,
SPORTSTAETTENOGD.16346,16346,POINT (16.39132578282263 48.2895087406404),Öffentlich outdoor,"21., Mühlweg 63 ggü",1365,"polysportiver Rasenplatz,<br />Skateranlage",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16347,16347,POINT (16.363238893705585 48.28162572867984),Vereinssport outdoor,"21., Neue Donau, Segelhafen Nord",9900,"Bootssport (Segeln),<br />Beachvolleyballanlage ( 1 Court)",http://www.segelzentrum-wien.at,7,
SPORTSTAETTENOGD.16348,16348,POINT (16.413683599360116 48.25159396128288),Vereinssport outdoor,"21., Nordmanngasse 24",28180,"2 Rasenplätze,<br />Kunstrasenplatz (Fußball)",http://www.fach-donaufeld.at/,7,
SPORTSTAETTENOGD.16349,16349,POINT (16.415402011171714 48.25092225997402),Vereinssport outdoor,"21., Nordmanngasse 58",7360,Tennisanlage (9 Plätze),https://www.eversports.at/s/tennisanlage-donaufeld,7,
SPORTSTAETTENOGD.16350,16350,POINT (16.410587334035153 48.29215875872472),Öffentlich outdoor,"21., Orasteig",3540,"polysportiver Rasenplatz,<br />Beachvolleyballplatz",https://www.wien.gv.at/freizeit/sportamt/sportstaetten/spielplaetze/,3,
SPORTSTAETTENOGD.16351,16351,POINT (16.4370011553779 48.27275371768619),Öffentlich outdoor,"21., Oswald-Redlich-Straße 1",549,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16352,16352,POINT (16.443798756155733 48.27388158651476),Vereinssport outdoor,"21., Oswald-Redlich-Straße 17a",3020,Stockschießanlage,http://www.esv-leopoldau.com/,7,
SPORTSTAETTENOGD.16836,16836,POINT (16.2681480205979 48.188077341476344),Schulsport outdoor,"13., Hietzinger Hauptstraße 166",56,Hartplatz 56 m²,https://www.wien.gv.at/bildung/schulen/,5,
SPORTSTAETTENOGD.16837,16837,POINT (16.26816145786407 48.18808634267461),Turnsaal,"13., Hietzinger Hauptstraße 166",157,Turnsaal 157 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16838,16838,POINT (16.259055217747612 48.190020082410754),Schulsport outdoor,"13., Himmelhofgasse 17-19",750,Hartplatz 750 m²,,5,
SPORTSTAETTENOGD.16839,16839,POINT (16.285203151704025 48.16393940927419),Schulsport outdoor,"13., Maygasse 25",500,Hartplatz 500 m²,http://www.big-kids.at/index.html,5,
SPORTSTAETTENOGD.16840,16840,POINT (16.28521658565416 48.16394840851573),Turnsaal,"13., Maygasse 25",754,Turnsaal 1 300 m²<br />Turnsaal 2 300 m²<br />Gymnastikraum 154 m²,http://www.big-kids.at/index.html,6,
SPORTSTAETTENOGD.16841,16841,POINT (16.262521832894663 48.192770870684924),Schulsport outdoor,"13., Schlossberggasse 17",3428,Kunstrasenplatz 946 m²<br />Hartplatz 2482 m²,http://www.dominikanerinnen.at/,5,
SPORTSTAETTENOGD.16842,16842,POINT (16.262535270401 48.192779872533535),Turnsaal,"13., Schlossberggasse 17",519,Turnsaal 1 252 m²<br />Turnsaal 2 162 m²<br />Turnsaal 3 105 m²,http://www.dominikanerinnen.at/,6,
SPORTSTAETTENOGD.16843,16843,POINT (16.284161152863984 48.1695706282978),Schulsport outdoor,"13., Speisinger Straße 44",1513,Rasenfläche 1513 m²,https://www.wien.gv.at/bildung/schulen/,5,
SPORTSTAETTENOGD.16844,16844,POINT (16.284161152863984 48.1695706282978),Turnsaal,"13., Speisingerstraße 44",121,Turnsaal 121 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16845,16845,POINT (16.282141844416753 48.176586431218304),Turnsaal,"13., Steinlechnergasse 5-7",570,Turnsaal 405 m²<br />Turnsaal 165 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16846,16846,POINT (16.281397949995668 48.17903611552423),Schulsport outdoor,"13., Veitinger Gasse 9",1700,Hartplatz 265 m²<br />Rasenfläche 1435 m²,https://www.wien.gv.at/bildung/schulen/,5,
SPORTSTAETTENOGD.16847,16847,POINT (16.281397949995668 48.17903611552423),Turnsaal,"13., Veitingergasse 9",816,Turnsaal 408 m²<br />Turnsaal 408 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16848,16848,POINT (16.292025828677286 48.18397834537519),Schulsport outdoor,"13., Wenzgasse 7",450,Hartplatz 450 m²,,5,
SPORTSTAETTENOGD.16849,16849,POINT (16.29203926905512 48.183987343789696),Turnsaal,"13., Wenzgasse 7",830,Turnsaal 1+2 gesamt 750 m²<br />Gymnastikraum 80 m²,,6,
SPORTSTAETTENOGD.16850,16850,POINT (16.290305949835886 48.191523371281114),Turnsaal,"14., Astgasse 3",1436,Turnsaal 1+2+3 gesamt 1303 m²<br />Gymnastikraum 133 m²,,6,
SPORTSTAETTENOGD.16851,16851,POINT (16.290319391884545 48.19153236988531),Schulsport outdoor,"14., Astgasse 3",4325,Rasenplatz 3200 m²<br />Hartplatz 1125 m²,,5,
SPORTSTAETTENOGD.16852,16852,POINT (16.30592029077786 48.191259187418204),Schulsport outdoor,"14., Diesterweggasse 30",269,Hartplatz 251 m²<br /> Hartplatz 18 m²,https://www.wien.gv.at/bildung/schulen/,5,
SPORTSTAETTENOGD.16853,16853,POINT (16.305933735491937 48.191268184197554),Turnsaal,"14., Diesterweggasse 30",288,Turnsaal 288 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16854,16854,POINT (16.283194802240928 48.19618664072872),Turnsaal,"14., Felbigergasse 97",316,Turnsaal 136 m²<br />Turnsaal 180 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16855,16855,POINT (16.223228715231656 48.20951407437885),Turnsaal,"14., Hadersdorf Hauptstraße 70",182,Turnsaal 182 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16856,16856,POINT (16.221051201294888 48.20969061066983),Turnsaal,"14., Hadersdorf Hauptstraße 80",318,Turnsaal 201 m²<br />Turnsaal 117 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16857,16857,POINT (16.223228715231656 48.20951407437885),Schulsport outdoor,"14., Hadersdorf, Hauptstraße 70",817,Hartplatz 817 m²,https://www.wien.gv.at/bildung/schulen/,5,
SPORTSTAETTENOGD.16858,16858,POINT (16.221051201294888 48.20969061066983),Schulsport outdoor,"14., Hadersdorf, Hauptstraße 80",452,Hartplatz 452 m²,https://www.wien.gv.at/bildung/schulen/,5,
SPORTSTAETTENOGD.16859,16859,POINT (16.276988069633646 48.19633668009426),Schulsport outdoor,"14., Hochsatzengasse 22-24",362,Hartplatz 362 m²,https://www.wien.gv.at/bildung/schulen/,5,
SPORTSTAETTENOGD.16860,16860,POINT (16.277001510607246 48.19634568024767),Turnsaal,"14., Hochsatzengasse 22-24",563,Turnsaal 405 m²<br />Turnsaal 158 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16861,16861,POINT (16.272907854712777 48.202040356443064),Schulsport outdoor,"14., Karl-Told-Weg 12",2828,Rasenfläche 2828 m²,https://www.wien.gv.at/bildung/schulen/,5,
SPORTSTAETTENOGD.16862,16862,POINT (16.272907854712777 48.202040356443064),Turnsaal,"14., Karl-Toldt-Weg 12",288,Turnsaal 288 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16863,16863,POINT (16.310956668299614 48.20191630899984),Turnsaal,"14., Kienmayergasse 41",60,Turnsaal 60 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16864,16864,POINT (16.277957174802278 48.2006698458536),Schulsport outdoor,"14., Kinkplatz 21",847,Rasenfläche 847 m²,https://www.wien.gv.at/bildung/schulen/,5,
SPORTSTAETTENOGD.16865,16865,POINT (16.27797061707857 48.20067884588739),Turnsaal,"14., Kinkplatz 21",1395,Turnsaal 180 m²<br />Turnsaal 405 m²<br />Turnsaal 405 m²<br />Turnsaal 405 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16866,16866,POINT (16.30301949579398 48.20216619730536),Schulsport outdoor,"14., Leyserstraße 6",945,Hartplatz 945 m²,,5,
SPORTSTAETTENOGD.16867,16867,POINT (16.30303294285308 48.20217519440731),Turnsaal,"14., Leyserstraße 6",330,Turnsaal 330 m²,,6,
SPORTSTAETTENOGD.16868,16868,POINT (16.283262118365194 48.19548015197793),Turnsaal,"14., Linzer Straße 232",137,Turnsaal 137 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
